This is cutadapt 2.9 with Python 3.5.2
Command line parameters: -G G{20} -e 0.0 -n 10 --minimum-length 25 --cores 4 -o Pacuta_ATHC_TP6_1254_R1_TrimmingRound2.fastq.gz -p Pacuta_ATHC_TP6_1254_R2_TrimmingRound2.fastq.gz Pacuta_ATHC_TP6_1254_R1_TrimmingRound1.fastq.gz Pacuta_ATHC_TP6_1254_R2_TrimmingRound1.fastq.gz
Processing reads on 4 cores in paired-end mode ...
Finished in 463.61 s (28 us/read; 2.13 M reads/minute).

=== Summary ===

Total read pairs processed:         16,476,249
  Read 1 with adapter:                       0 (0.0%)
  Read 2 with adapter:               1,170,457 (7.1%)
Pairs written (passing filters):    16,469,803 (100.0%)

Total basepairs processed: 4,435,677,550 bp
  Read 1: 2,206,161,893 bp
  Read 2: 2,229,515,657 bp
Total written (filtered):  4,412,086,198 bp (99.5%)
  Read 1: 2,205,285,424 bp
  Read 2: 2,206,800,774 bp

=== Second read: Adapter 1 ===

Sequence: GGGGGGGGGGGGGGGGGGGG; Type: regular 5'; Length: 20; Trimmed: 1742537 times

No. of allowed errors:
0-20 bp: 0

Overview of removed sequences
length	count	expect	max.err	error counts
3	305454	257441.4	0	305454
4	105171	64360.3	0	105171
5	64291	16090.1	0	64291
6	61203	4022.5	0	61203
7	53253	1005.6	0	53253
8	50405	251.4	0	50405
9	38571	62.9	0	38571
10	42560	15.7	0	42560
11	47252	3.9	0	47252
12	40675	1.0	0	40675
13	40490	0.2	0	40490
14	40854	0.1	0	40854
15	40648	0.0	0	40648
16	37142	0.0	0	37142
17	36584	0.0	0	36584
18	35509	0.0	0	35509
19	31300	0.0	0	31300
20	643693	0.0	0	643693
21	8088	0.0	0	8088
22	653	0.0	0	653
23	605	0.0	0	605
24	598	0.0	0	598
25	594	0.0	0	594
26	684	0.0	0	684
27	678	0.0	0	678
28	769	0.0	0	769
29	768	0.0	0	768
30	704	0.0	0	704
31	709	0.0	0	709
32	791	0.0	0	791
33	713	0.0	0	713
34	588	0.0	0	588
35	747	0.0	0	747
36	681	0.0	0	681
37	625	0.0	0	625
38	726	0.0	0	726
39	702	0.0	0	702
40	641	0.0	0	641
41	251	0.0	0	251
42	201	0.0	0	201
43	242	0.0	0	242
44	202	0.0	0	202
45	207	0.0	0	207
46	199	0.0	0	199
47	200	0.0	0	200
48	185	0.0	0	185
49	180	0.0	0	180
50	172	0.0	0	172
51	144	0.0	0	144
52	174	0.0	0	174
53	157	0.0	0	157
54	131	0.0	0	131
55	131	0.0	0	131
56	104	0.0	0	104
57	96	0.0	0	96
58	98	0.0	0	98
59	102	0.0	0	102
60	112	0.0	0	112
61	71	0.0	0	71
62	91	0.0	0	91
63	85	0.0	0	85
64	80	0.0	0	80
65	84	0.0	0	84
66	68	0.0	0	68
67	70	0.0	0	70
68	69	0.0	0	69
69	93	0.0	0	93
70	62	0.0	0	62
71	89	0.0	0	89
72	62	0.0	0	62
73	71	0.0	0	71
74	53	0.0	0	53
75	52	0.0	0	52
76	61	0.0	0	61
77	49	0.0	0	49
78	79	0.0	0	79
79	40	0.0	0	40
80	42	0.0	0	42
81	53	0.0	0	53
82	55	0.0	0	55
83	39	0.0	0	39
84	44	0.0	0	44
85	44	0.0	0	44
86	59	0.0	0	59
87	40	0.0	0	40
88	45	0.0	0	45
89	41	0.0	0	41
90	42	0.0	0	42
91	25	0.0	0	25
92	45	0.0	0	45
93	41	0.0	0	41
94	37	0.0	0	37
95	43	0.0	0	43
96	39	0.0	0	39
97	36	0.0	0	36
98	42	0.0	0	42
99	28	0.0	0	28
100	39	0.0	0	39
101	32	0.0	0	32
102	38	0.0	0	38
103	30	0.0	0	30
104	32	0.0	0	32
105	27	0.0	0	27
106	36	0.0	0	36
107	32	0.0	0	32
108	22	0.0	0	22
109	36	0.0	0	36
110	20	0.0	0	20
111	26	0.0	0	26
112	25	0.0	0	25
113	33	0.0	0	33
114	23	0.0	0	23
115	29	0.0	0	29
116	24	0.0	0	24
117	17	0.0	0	17
118	13	0.0	0	13
119	21	0.0	0	21
120	24	0.0	0	24
121	20	0.0	0	20
122	23	0.0	0	23
123	17	0.0	0	17
124	23	0.0	0	23
125	28	0.0	0	28
126	22	0.0	0	22
127	30	0.0	0	30
128	16	0.0	0	16
129	18	0.0	0	18
130	9	0.0	0	9
131	5	0.0	0	5
132	9	0.0	0	9
133	6	0.0	0	6
134	9	0.0	0	9
135	8	0.0	0	8
136	9	0.0	0	9
137	1	0.0	0	1
138	4	0.0	0	4
139	4	0.0	0	4
140	8	0.0	0	8
141	9	0.0	0	9
142	4	0.0	0	4
143	9	0.0	0	9
144	9	0.0	0	9
145	13	0.0	0	13
146	13	0.0	0	13
147	26	0.0	0	26
148	15	0.0	0	15
149	15	0.0	0	15
