This is cutadapt 2.9 with Python 3.5.2
Command line parameters: -G G{20} -e 0.0 -n 10 --minimum-length 25 --cores 4 -o Pacuta_HTAC_TP6_1330_R1_TrimmingRound2.fastq.gz -p Pacuta_HTAC_TP6_1330_R2_TrimmingRound2.fastq.gz Pacuta_HTAC_TP6_1330_R1_TrimmingRound1.fastq.gz Pacuta_HTAC_TP6_1330_R2_TrimmingRound1.fastq.gz
Processing reads on 4 cores in paired-end mode ...
Finished in 496.00 s (29 us/read; 2.09 M reads/minute).

=== Summary ===

Total read pairs processed:         17,257,280
  Read 1 with adapter:                       0 (0.0%)
  Read 2 with adapter:               1,231,113 (7.1%)
Pairs written (passing filters):    17,249,593 (100.0%)

Total basepairs processed: 4,494,611,704 bp
  Read 1: 2,231,881,292 bp
  Read 2: 2,262,730,412 bp
Total written (filtered):  4,470,299,418 bp (99.5%)
  Read 1: 2,230,861,486 bp
  Read 2: 2,239,437,932 bp

=== Second read: Adapter 1 ===

Sequence: GGGGGGGGGGGGGGGGGGGG; Type: regular 5'; Length: 20; Trimmed: 1827825 times

No. of allowed errors:
0-20 bp: 0

Overview of removed sequences
length	count	expect	max.err	error counts
3	378808	269645.0	0	378808
4	122206	67411.2	0	122206
5	64979	16852.8	0	64979
6	56848	4213.2	0	56848
7	48279	1053.3	0	48279
8	48013	263.3	0	48013
9	37774	65.8	0	37774
10	43551	16.5	0	43551
11	44536	4.1	0	44536
12	42788	1.0	0	42788
13	39180	0.3	0	39180
14	38651	0.1	0	38651
15	37313	0.0	0	37313
16	36106	0.0	0	36106
17	34467	0.0	0	34467
18	34029	0.0	0	34029
19	28915	0.0	0	28915
20	659048	0.0	0	659048
21	8421	0.0	0	8421
22	709	0.0	0	709
23	611	0.0	0	611
24	689	0.0	0	689
25	657	0.0	0	657
26	754	0.0	0	754
27	753	0.0	0	753
28	822	0.0	0	822
29	852	0.0	0	852
30	762	0.0	0	762
31	763	0.0	0	763
32	888	0.0	0	888
33	803	0.0	0	803
34	775	0.0	0	775
35	800	0.0	0	800
36	817	0.0	0	817
37	746	0.0	0	746
38	815	0.0	0	815
39	737	0.0	0	737
40	815	0.0	0	815
41	327	0.0	0	327
42	344	0.0	0	344
43	290	0.0	0	290
44	289	0.0	0	289
45	272	0.0	0	272
46	287	0.0	0	287
47	271	0.0	0	271
48	266	0.0	0	266
49	226	0.0	0	226
50	223	0.0	0	223
51	226	0.0	0	226
52	205	0.0	0	205
53	207	0.0	0	207
54	174	0.0	0	174
55	182	0.0	0	182
56	176	0.0	0	176
57	136	0.0	0	136
58	139	0.0	0	139
59	144	0.0	0	144
60	165	0.0	0	165
61	148	0.0	0	148
62	120	0.0	0	120
63	133	0.0	0	133
64	106	0.0	0	106
65	107	0.0	0	107
66	133	0.0	0	133
67	108	0.0	0	108
68	97	0.0	0	97
69	127	0.0	0	127
70	115	0.0	0	115
71	87	0.0	0	87
72	101	0.0	0	101
73	101	0.0	0	101
74	90	0.0	0	90
75	96	0.0	0	96
76	109	0.0	0	109
77	103	0.0	0	103
78	98	0.0	0	98
79	83	0.0	0	83
80	83	0.0	0	83
81	79	0.0	0	79
82	85	0.0	0	85
83	73	0.0	0	73
84	72	0.0	0	72
85	75	0.0	0	75
86	94	0.0	0	94
87	71	0.0	0	71
88	87	0.0	0	87
89	81	0.0	0	81
90	71	0.0	0	71
91	56	0.0	0	56
92	58	0.0	0	58
93	60	0.0	0	60
94	61	0.0	0	61
95	64	0.0	0	64
96	59	0.0	0	59
97	57	0.0	0	57
98	56	0.0	0	56
99	45	0.0	0	45
100	49	0.0	0	49
101	49	0.0	0	49
102	39	0.0	0	39
103	52	0.0	0	52
104	39	0.0	0	39
105	39	0.0	0	39
106	45	0.0	0	45
107	52	0.0	0	52
108	48	0.0	0	48
109	56	0.0	0	56
110	39	0.0	0	39
111	42	0.0	0	42
112	48	0.0	0	48
113	41	0.0	0	41
114	32	0.0	0	32
115	42	0.0	0	42
116	39	0.0	0	39
117	34	0.0	0	34
118	19	0.0	0	19
119	28	0.0	0	28
120	22	0.0	0	22
121	25	0.0	0	25
122	31	0.0	0	31
123	23	0.0	0	23
124	26	0.0	0	26
125	30	0.0	0	30
126	25	0.0	0	25
127	35	0.0	0	35
128	32	0.0	0	32
129	28	0.0	0	28
130	7	0.0	0	7
131	14	0.0	0	14
132	9	0.0	0	9
133	6	0.0	0	6
134	10	0.0	0	10
135	10	0.0	0	10
136	8	0.0	0	8
137	7	0.0	0	7
138	8	0.0	0	8
139	10	0.0	0	10
140	10	0.0	0	10
141	8	0.0	0	8
142	12	0.0	0	12
143	13	0.0	0	13
144	10	0.0	0	10
145	23	0.0	0	23
146	17	0.0	0	17
147	25	0.0	0	25
148	17	0.0	0	17
149	14	0.0	0	14
