This is cutadapt 2.9 with Python 3.5.2
Command line parameters: -G G{20} -e 0.0 -n 10 --minimum-length 25 --cores 4 -o Pacuta_HTHC_TP7_1820_R1_TrimmingRound2.fastq.gz -p Pacuta_HTHC_TP7_1820_R2_TrimmingRound2.fastq.gz Pacuta_HTHC_TP7_1820_R1_TrimmingRound1.fastq.gz Pacuta_HTHC_TP7_1820_R2_TrimmingRound1.fastq.gz
Processing reads on 4 cores in paired-end mode ...
Finished in 439.69 s (27 us/read; 2.21 M reads/minute).

=== Summary ===

Total read pairs processed:         16,223,153
  Read 1 with adapter:                       0 (0.0%)
  Read 2 with adapter:                 276,302 (1.7%)
Pairs written (passing filters):    16,223,124 (100.0%)

Total basepairs processed: 4,553,705,685 bp
  Read 1: 2,274,099,570 bp
  Read 2: 2,279,606,115 bp
Total written (filtered):  4,552,784,855 bp (100.0%)
  Read 1: 2,274,095,919 bp
  Read 2: 2,278,688,936 bp

=== Second read: Adapter 1 ===

Sequence: GGGGGGGGGGGGGGGGGGGG; Type: regular 5'; Length: 20; Trimmed: 276359 times

No. of allowed errors:
0-20 bp: 0

Overview of removed sequences
length	count	expect	max.err	error counts
3	215866	253486.8	0	215866
4	48851	63371.7	0	48851
5	8919	15842.9	0	8919
6	1603	3960.7	0	1603
7	534	990.2	0	534
8	239	247.5	0	239
9	112	61.9	0	112
10	24	15.5	0	24
11	21	3.9	0	21
12	17	1.0	0	17
13	8	0.2	0	8
14	18	0.1	0	18
15	6	0.0	0	6
16	1	0.0	0	1
18	2	0.0	0	2
20	3	0.0	0	3
21	2	0.0	0	2
26	1	0.0	0	1
27	1	0.0	0	1
28	2	0.0	0	2
30	1	0.0	0	1
31	2	0.0	0	2
33	4	0.0	0	4
34	3	0.0	0	3
40	3	0.0	0	3
41	1	0.0	0	1
44	1	0.0	0	1
46	2	0.0	0	2
47	1	0.0	0	1
51	2	0.0	0	2
55	1	0.0	0	1
57	1	0.0	0	1
58	3	0.0	0	3
59	1	0.0	0	1
63	2	0.0	0	2
65	2	0.0	0	2
66	1	0.0	0	1
67	1	0.0	0	1
68	1	0.0	0	1
69	2	0.0	0	2
70	4	0.0	0	4
71	4	0.0	0	4
72	1	0.0	0	1
73	1	0.0	0	1
74	1	0.0	0	1
75	2	0.0	0	2
76	3	0.0	0	3
77	2	0.0	0	2
78	1	0.0	0	1
80	2	0.0	0	2
83	1	0.0	0	1
85	1	0.0	0	1
87	1	0.0	0	1
89	1	0.0	0	1
90	1	0.0	0	1
91	3	0.0	0	3
93	1	0.0	0	1
94	2	0.0	0	2
95	4	0.0	0	4
96	3	0.0	0	3
100	1	0.0	0	1
101	1	0.0	0	1
102	1	0.0	0	1
103	3	0.0	0	3
104	2	0.0	0	2
107	1	0.0	0	1
108	3	0.0	0	3
109	3	0.0	0	3
110	4	0.0	0	4
111	1	0.0	0	1
113	1	0.0	0	1
114	1	0.0	0	1
115	1	0.0	0	1
117	4	0.0	0	4
118	1	0.0	0	1
119	2	0.0	0	2
120	1	0.0	0	1
121	1	0.0	0	1
122	2	0.0	0	2
124	2	0.0	0	2
125	1	0.0	0	1
127	1	0.0	0	1
128	1	0.0	0	1
129	1	0.0	0	1
130	1	0.0	0	1
133	2	0.0	0	2
134	2	0.0	0	2
137	1	0.0	0	1
138	3	0.0	0	3
139	1	0.0	0	1
142	2	0.0	0	2
143	1	0.0	0	1
144	1	0.0	0	1
147	1	0.0	0	1
