This is cutadapt 2.9 with Python 3.5.2
Command line parameters: -G G{20} -e 0.0 -n 10 --minimum-length 25 --cores 4 -o Pacuta_HTHC_TP9_1131_R1_TrimmingRound2.fastq.gz -p Pacuta_HTHC_TP9_1131_R2_TrimmingRound2.fastq.gz Pacuta_HTHC_TP9_1131_R1_TrimmingRound1.fastq.gz Pacuta_HTHC_TP9_1131_R2_TrimmingRound1.fastq.gz
Processing reads on 4 cores in paired-end mode ...
Finished in 446.34 s (25 us/read; 2.36 M reads/minute).

=== Summary ===

Total read pairs processed:         17,572,953
  Read 1 with adapter:                       0 (0.0%)
  Read 2 with adapter:               1,188,043 (6.8%)
Pairs written (passing filters):    17,565,264 (100.0%)

Total basepairs processed: 4,574,690,512 bp
  Read 1: 2,270,645,961 bp
  Read 2: 2,304,044,551 bp
Total written (filtered):  4,550,821,212 bp (99.5%)
  Read 1: 2,269,642,759 bp
  Read 2: 2,281,178,453 bp

=== Second read: Adapter 1 ===

Sequence: GGGGGGGGGGGGGGGGGGGG; Type: regular 5'; Length: 20; Trimmed: 1783042 times

No. of allowed errors:
0-20 bp: 0

Overview of removed sequences
length	count	expect	max.err	error counts
3	362642	274577.4	0	362642
4	118234	68644.3	0	118234
5	64007	17161.1	0	64007
6	53436	4290.3	0	53436
7	49618	1072.6	0	49618
8	45096	268.1	0	45096
9	37305	67.0	0	37305
10	37868	16.8	0	37868
11	43182	4.2	0	43182
12	41713	1.0	0	41713
13	37532	0.3	0	37532
14	37952	0.1	0	37952
15	36615	0.0	0	36615
16	33172	0.0	0	33172
17	33685	0.0	0	33685
18	32808	0.0	0	32808
19	29298	0.0	0	29298
20	658125	0.0	0	658125
21	8319	0.0	0	8319
22	697	0.0	0	697
23	614	0.0	0	614
24	585	0.0	0	585
25	681	0.0	0	681
26	781	0.0	0	781
27	727	0.0	0	727
28	795	0.0	0	795
29	832	0.0	0	832
30	829	0.0	0	829
31	758	0.0	0	758
32	831	0.0	0	831
33	883	0.0	0	883
34	753	0.0	0	753
35	872	0.0	0	872
36	783	0.0	0	783
37	674	0.0	0	674
38	779	0.0	0	779
39	723	0.0	0	723
40	750	0.0	0	750
41	300	0.0	0	300
42	298	0.0	0	298
43	287	0.0	0	287
44	248	0.0	0	248
45	230	0.0	0	230
46	252	0.0	0	252
47	217	0.0	0	217
48	228	0.0	0	228
49	220	0.0	0	220
50	221	0.0	0	221
51	170	0.0	0	170
52	176	0.0	0	176
53	164	0.0	0	164
54	147	0.0	0	147
55	186	0.0	0	186
56	119	0.0	0	119
57	129	0.0	0	129
58	138	0.0	0	138
59	136	0.0	0	136
60	98	0.0	0	98
61	130	0.0	0	130
62	113	0.0	0	113
63	118	0.0	0	118
64	109	0.0	0	109
65	87	0.0	0	87
66	94	0.0	0	94
67	90	0.0	0	90
68	93	0.0	0	93
69	105	0.0	0	105
70	93	0.0	0	93
71	82	0.0	0	82
72	79	0.0	0	79
73	77	0.0	0	77
74	83	0.0	0	83
75	87	0.0	0	87
76	88	0.0	0	88
77	66	0.0	0	66
78	72	0.0	0	72
79	54	0.0	0	54
80	63	0.0	0	63
81	72	0.0	0	72
82	77	0.0	0	77
83	74	0.0	0	74
84	68	0.0	0	68
85	45	0.0	0	45
86	85	0.0	0	85
87	58	0.0	0	58
88	56	0.0	0	56
89	54	0.0	0	54
90	44	0.0	0	44
91	44	0.0	0	44
92	58	0.0	0	58
93	55	0.0	0	55
94	52	0.0	0	52
95	61	0.0	0	61
96	48	0.0	0	48
97	58	0.0	0	58
98	43	0.0	0	43
99	53	0.0	0	53
100	38	0.0	0	38
101	45	0.0	0	45
102	41	0.0	0	41
103	39	0.0	0	39
104	42	0.0	0	42
105	43	0.0	0	43
106	46	0.0	0	46
107	38	0.0	0	38
108	38	0.0	0	38
109	42	0.0	0	42
110	33	0.0	0	33
111	38	0.0	0	38
112	38	0.0	0	38
113	32	0.0	0	32
114	31	0.0	0	31
115	36	0.0	0	36
116	26	0.0	0	26
117	26	0.0	0	26
118	26	0.0	0	26
119	25	0.0	0	25
120	19	0.0	0	19
121	26	0.0	0	26
122	34	0.0	0	34
123	32	0.0	0	32
124	33	0.0	0	33
125	25	0.0	0	25
126	23	0.0	0	23
127	32	0.0	0	32
128	39	0.0	0	39
129	36	0.0	0	36
130	6	0.0	0	6
131	11	0.0	0	11
132	13	0.0	0	13
133	9	0.0	0	9
134	11	0.0	0	11
135	7	0.0	0	7
136	6	0.0	0	6
137	7	0.0	0	7
138	13	0.0	0	13
139	4	0.0	0	4
140	7	0.0	0	7
141	7	0.0	0	7
142	14	0.0	0	14
143	7	0.0	0	7
144	10	0.0	0	10
145	18	0.0	0	18
146	11	0.0	0	11
147	16	0.0	0	16
148	20	0.0	0	20
149	17	0.0	0	17
