sample_id	Trim1_R1_NoReads	Trim1_R1_NoBases	Trim1_R2_NoReads	Trim1_R2_NoBases	Trim2_R1_NoReads	Trim2_R1_NoBases	Trim2_R2_NoReads	Trim2_R2_NoBases
Mcapitata_ATAC_TP10_1095	17628563	2293546136	17628563	2315866551	17624623	2293031361	17624623	2301545278
Mcapitata_ATAC_TP10_1561	18058689	2355982283	18058689	2384700616	18052048	2355124214	18052048	2365377999
Mcapitata_ATAC_TP10_1631	16871566	2268508084	16871566	2288981899	16863182	2267404893	16863182	2264697343
Mcapitata_ATAC_TP11_1076	19873699	2684607844	19873699	2683731062	19873528	2684588499	19873528	2682503057
Mcapitata_ATAC_TP11_1644	17212808	2292419764	17212808	2317809950	17204611	2291356374	17204611	2293773102
Mcapitata_ATAC_TP11_2302	18347539	2474092259	18347539	2473499435	18347436	2474080133	18347436	2472405240
Mcapitata_ATAC_TP12_1120	21366431	3012912405	21366431	3011626718	21366324	3012898184	21366324	3010163244
Mcapitata_ATAC_TP12_1452	20140332	2720581141	20140332	2719622454	20140189	2720564832	20140189	2718393744
Mcapitata_ATAC_TP12_2403	18818682	2668329990	18818682	2666638237	18818577	2668316354	18818577	2665420569
Mcapitata_ATAC_TP1_1037	19614015	2650809209	19614015	2650130999	19613816	2650786704	19613816	2648898805
Mcapitata_ATAC_TP1_1600	10498141	1435203196	10498141	1458129190	10490016	1434092442	10490016	1428060796
Mcapitata_ATAC_TP1_1652	20654221	2799400358	20654221	2798532661	20654064	2799381415	20654064	2797315023
Mcapitata_ATAC_TP3_1101	21553985	2929036424	21553985	2928048994	21553847	2929018848	21553847	2926714297
Mcapitata_ATAC_TP3_1548	17603575	2385018992	17603575	2384520692	17603457	2385006337	17603457	2383465496
Mcapitata_ATAC_TP3_1628	21586709	2906352633	21586709	2906075502	21586579	2906337515	21586579	2904787254
Mcapitata_ATAC_TP4_1108	22173146	3010056387	22173146	3009122931	22172996	3010038374	22172996	3007775275
Mcapitata_ATAC_TP4_1609	20972122	3005465296	20972122	3003625739	20971941	3005442237	20971941	3002112795
Mcapitata_ATAC_TP4_1651	18382448	2499617038	18382448	2499020672	18382318	2499603401	18382318	2497930206
Mcapitata_ATAC_TP5_1196	19047296	2533109975	19047296	2556011402	19042279	2532450798	19042279	2539187279
Mcapitata_ATAC_TP5_1610	24505959	3290321265	24505959	3289796179	24505833	3290306711	24505833	3288254305
Mcapitata_ATAC_TP5_1776	16324844	2136325113	16324844	2168421370	16316868	2135271128	16316868	2143010053
Mcapitata_ATAC_TP6_1114	17881027	2408826635	17881027	2435234154	17873904	2407895569	17873904	2411346746
Mcapitata_ATAC_TP6_1611	23171852	3139696277	23171852	3138915855	23171685	3139675386	23171685	3137461277
Mcapitata_ATAC_TP6_2402	21165638	2872661318	21165638	2872111455	21165486	2872643452	21165486	2870885778
Mcapitata_ATAC_TP7_1058	14975031	2074089616	14975031	2079552105	14975004	2074086395	14975004	2078798798
