"","Measurement","Period1","Treatment","mean","sem"
"1","AragSat","Acclimation","Acclimation",2.75162733826771,0.0169813903801254
"2","AragSat","RampDown","ATAC",2.64500698499819,0.0480055971752861
"3","AragSat","RampDown","ATHC",2.70018488161151,0.039987489505559
"4","AragSat","RampDown","HTAC",2.76441000772672,0.0357683922137806
"5","AragSat","RampDown","HTHC",2.77744028213403,0.0913579837771299
"6","AragSat","Treatment","ATAC",3.33453660741322,0.057801655484293
"7","AragSat","Treatment","ATHC",1.71328896908544,0.0519711245830502
"8","AragSat","Treatment","HTAC",3.4229380911766,0.0713524556459191
"9","AragSat","Treatment","HTHC",1.74186682232973,0.0755737427317389
"10","CO2","Acclimation","Acclimation",14.0305841230993,0.0869244348798879
"11","CO2","RampDown","ATAC",13.7362522593473,0.38476775304417
"12","CO2","RampDown","ATHC",13.0011393116458,0.331792225555941
"13","CO2","RampDown","HTAC",13.4348000942546,0.202477667291614
"14","CO2","RampDown","HTHC",13.1724434970147,0.438164893994927
"15","CO2","Treatment","ATAC",10.5865597642143,0.313980907341625
"16","CO2","Treatment","ATHC",27.9973070807141,0.93370579300621
"17","CO2","Treatment","HTAC",10.7105565630832,0.335456109706088
"18","CO2","Treatment","HTHC",29.9337490518402,1.41019820093626
"19","CO3","Acclimation","Acclimation",170.396088909904,0.996906666306476
"20","CO3","RampDown","ATAC",165.034387281361,2.8350401859198
"21","CO3","RampDown","ATHC",168.467977929636,2.52525719899228
"22","CO3","RampDown","HTAC",170.656347003205,2.11261797721796
"23","CO3","RampDown","HTHC",171.683351423039,5.60451247938954
"24","CO3","Treatment","ATAC",206.031571378851,3.58996441474759
"25","CO3","Treatment","ATHC",105.848478979455,3.20064116848719
"26","CO3","Treatment","HTAC",209.44402175342,4.33268797313937
"27","CO3","Treatment","HTHC",106.533571849045,4.61816160730326
"28","DIC","Acclimation","Acclimation",1931.30366416775,5.5274165715895
"29","DIC","RampDown","ATAC",1919.56045902367,10.8076512580208
"30","DIC","RampDown","ATHC",1892.53219749071,9.41600445503499
"31","DIC","RampDown","HTAC",1892.15266257605,2.90640905515996
"32","DIC","RampDown","HTHC",1880.59835885825,3.34224071112493
"33","DIC","Treatment","ATAC",1865.70972977713,8.67765605413995
"34","DIC","Treatment","ATHC",2035.63910119301,7.78368056564613
"35","DIC","Treatment","HTAC",1857.30895743918,8.66017931463554
"36","DIC","Treatment","HTHC",2030.70068808212,9.50120989176816
"37","HCO3","Acclimation","Acclimation",1746.87699113475,5.12552103163259
"38","HCO3","RampDown","ATAC",1740.78981948297,12.6222748366763
"39","HCO3","RampDown","ATHC",1711.06308024942,11.0579901587314
"40","HCO3","RampDown","HTAC",1708.06151547859,3.77425651693312
"41","HCO3","RampDown","HTHC",1695.74256393819,3.12604071504016
"42","HCO3","Treatment","ATAC",1649.09159863406,11.1901608958239
